#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
1,"Lua Comanche","Bala Desejo,Dora Morelenbaum,Julia Mestre,Lucas Nunes,Zé Ibarra",42,93,"nova mpb, mpb","SIM SIM SIM",2022-04-13,03:35,65,62,56,0,85,0,10,-9,A#/B♭ Major,4,2025-05-07,1ePrMcPReD8N7csRr661ab,6B,BXJXT2200007
2,"Grito do Natureza","Rogê",27,109,"samba","Curyman",2023-03-03,02:59,71,63,50,5,80,0,10,-8,E Minor,3,2025-05-07,7HdmAkFF46QZp45PGHKqrZ,9A,QMB622200159
3,"Bis","Arthur Verocai,Azymuth",43,101,"brazilian jazz, bossa nova, mpb, jazz funk, jazz fusion, acid jazz","Encore",2012-02-17,03:58,65,87,55,0,86,0,30,-8,D Major,4,2025-05-07,4QPoCJSGDSig70rrzt8ZLi,10B,GBDCR0600091
4,"Know-How","Cassiano,Ed Motta",29,102,"mpb, brazilian jazz, brazilian rock, brazilian pop","Cedo Ou Tarde",1991-03-08,03:45,72,68,45,0,77,0,0,-8,C♯/D♭ Minor,4,2025-05-07,4q6zU9XyPFe0pN1U5aFMqg,12A,BRSME9100086
5,"Mr. Funky samba","Banda Black Rio",43,102,"brazilian jazz, jazz funk","Maria Fumaça (Remasterizado)",1977-00-00,03:39,63,79,15,83,94,0,10,-6,D Major,4,2025-05-07,4SXWXupjFY49tbQWCG5rFf,10B,BRWMB9705446
6,"Tudo Que Eu Não Fiz","O Terno",38,97,"nova mpb, mpb","Atrás/além",2019-04-23,03:49,47,48,14,0,41,0,0,-11,C♯/D♭ Major,4,2025-05-07,1BeY3p2ePpoDOmlRh3jirM,3B,BR73M1900001
7,"A Outra","Arthur Verocai,Vinicius Cantuaria",34,96,"brazilian jazz, bossa nova, mpb, brazilian rock, brazilian pop","No Voo do Urubu",2016-12-16,03:21,69,68,41,1,83,0,30,-11,C Minor,4,2025-05-07,1mIBzEAm7JQ3Fp19UnWJXg,5A,BXSVC1600017
8,"Viens Danser","João Selva,Clea Vincent",41,104,"french indie pop, french pop, french house","Onda",2025-01-10,03:57,88,66,7,0,94,0,40,-9,D Minor,4,2025-05-07,27jQ2ok7oxDKT0AQV7c32l,7A,FR05P2400463
9,"VW BLUE","Dora Morelenbaum",26,128,"nova mpb","Pique",2024-10-18,01:45,48,51,27,93,84,0,10,-12,B Minor,4,2025-05-07,27sDtNceNnYzFWniPXUlyD,10A,BRM052400007
10,"Funky Tamborim","Tania Maria",34,96,"brazilian jazz, latin jazz, bossa nova, jazz funk","The Concord Jazz Heritage Series",1983-00-00,03:16,78,87,17,23,79,0,0,-10,C Major,4,2025-05-07,0jgWUm7EwFcjVimKI7b1cx,8B,USC4R0507855
11,"Nega e Kota","The Ipanemas",44,91,"bossa nova, brazilian jazz, samba, latin jazz","Que Beleza",2010-07-05,04:20,49,67,68,93,62,0,10,-9,E Minor,4,2025-05-07,4MPx2jqclhvnNVO05YhELc,9A,GBDCR1000325
12,"Feel Like Making Love","Ana Mazzotti",51,89,"brazilian jazz, bossa nova","Ninguém Vai Me Segurar",1974-09-13,03:54,56,56,34,6,63,0,20,-16,F Minor,4,2025-05-07,7s195d7fCSpbn7uNndfDFb,4A,GBDCR1900043
